transaction_id,date,category,amount
1,2022-07-06 05:57:10 +0000,Restuarant,45.0
3,2022-07-06 05:58:25 +0000,Market,17.33
4,2022-07-06 05:59:00 +0000,Restuarant,5.5
5,2022-07-06 05:59:15 +0000,Market,11.78
6,2022-07-06 05:59:41 +0000,Restuarant,10.0
7,2022-07-06 05:59:44 +0000,Market,1.38
8,2022-07-06 05:59:45 +0000,Restuarant,10.0
9,2022-07-06 05:59:56 +0000,Market,2.73
10,2022-07-06 06:00:04 +0000,Market,1.94
11,2022-07-06 06:00:53 +0000,Transport,5.0
12,2022-07-06 06:01:09 +0000,Restuarant,6.0
13,2022-07-06 06:07:09 +0000,Market,2.8
14,2022-07-06 08:55:16 +0000,Coffe,6.6
15,2022-07-06 14:43:13 +0000,Coffe,7.6
16,2022-07-06 17:48:06 +0000,Market,3.12
17,2022-07-07 09:52:48 +0000,Market,2.37
18,2022-07-07 09:56:52 +0000,Coffe,6.0
19,2022-07-07 15:06:54 +0000,Market,12.36
20,2022-07-08 05:00:36 +0000,Market,1.98
21,2022-07-08 13:02:25 +0000,Restuarant,5.0
22,2022-07-08 17:16:44 +0000,Market,2.04
23,2022-07-08 17:16:50 +0000,Restuarant,12.0
24,2022-07-09 04:43:12 +0000,Coffe,5.7
25,2022-07-09 06:37:03 +0000,Restuarant,48.0
26,2022-07-09 06:37:08 +0000,Transport,5.0
27,2022-07-10 05:45:45 +0000,Transport,21.0
28,2022-07-10 18:15:13 +0000,Other,20.0
29,2022-07-10 18:38:38 +0000,Phone,10.0
30,2022-07-11 15:05:15 +0000,Market,13.62
31,2022-07-11 15:05:19 +0000,Transport,10.0
32,2022-07-11 15:05:28 +0000,Market,12.76
33,2022-07-12 18:47:10 +0000,Restuarant,10.0
34,2022-07-12 19:09:28 +0000,Market,8.2
35,2022-07-12 19:10:28 +0000,Communal,150.0
36,2022-07-13 09:35:23 +0000,Transport,2.0
37,2022-07-13 14:10:40 +0000,Coffe,6.6
38,2022-07-13 17:06:52 +0000,Market,1.8
39,2022-07-14 12:07:03 +0000,Coffe,7.6
40,2022-07-15 12:42:39 +0000,Transport,6.0
41,2022-07-15 15:37:35 +0000,Coffe,6.6
42,2022-07-15 18:24:42 +0000,Market,7.44
43,2022-07-16 08:26:25 +0000,Coffe,16.0
44,2022-07-16 09:19:28 +0000,Transport,2.0
45,2022-07-16 09:49:31 +0000,Coffe,7.6
46,2022-07-17 10:12:20 +0000,Transport,5.0
47,2022-07-17 10:12:22 +0000,Coffe,7.6
48,2022-07-17 10:59:19 +0000,Coffe,7.6
49,2022-07-17 16:22:17 +0000,Restuarant,10.0
50,2022-07-17 16:55:41 +0000,Market,4.5
51,2022-07-18 10:54:56 +0000,Coffe,15.2
52,2022-07-19 11:18:02 +0000,Coffe,15.6
53,2022-07-19 12:26:37 +0000,Coffe,3.0
54,2022-07-19 17:48:53 +0000,Market,18.0
55,2022-07-19 17:48:55 +0000,Restuarant,10.0
56,2022-07-20 11:59:47 +0000,Restuarant,5.5
57,2022-07-20 11:59:52 +0000,Market,4.38
58,2022-07-20 13:37:03 +0000,Restuarant,10.0
59,2022-07-20 14:33:00 +0000,Coffe,7.6
60,2022-07-20 19:23:39 +0000,Transport,4.0
61,2022-07-21 01:27:52 +0000,Restuarant,8.0
62,2022-07-27 17:44:12 +0000,Coffe,7.6
63,2022-07-27 21:09:08 +0000,Market,8.0
64,2022-07-28 00:51:54 +0000,Clothing,87.0
65,2022-07-28 00:52:30 +0000,Clothing,135.5
66,2022-07-28 00:52:37 +0000,Clothing,90.0
67,2022-07-28 15:59:29 +0000,Market,8.0
68,2022-07-28 19:18:45 +0000,Motel,675.0
69,2022-07-28 19:19:02 +0000,Travel,733.25
70,2022-07-28 19:21:17 +0000,Rent Car,80.0
71,2022-07-28 19:23:16 +0000,Rent Car,15.0
72,2022-07-28 19:24:50 +0000,Communal,9.0
73,2022-07-29 10:44:07 +0000,Phone,7.0
74,2022-07-29 14:43:54 +0000,Restuarant,7.0
75,2022-07-29 14:43:57 +0000,Transport,1.0
76,2022-07-29 14:44:10 +0000,Travel,260.0
77,2022-07-30 08:41:21 +0000,Coffe,7.6
78,2022-07-30 12:08:27 +0000,Coffe,28.4
79,2022-07-30 16:57:05 +0000,Restuarant,7.5
80,2022-07-31 10:51:59 +0000,Transport,3.0
81,2022-07-31 14:18:59 +0000,Coffe,6.5
82,2022-08-01 05:10:13 +0000,Market,4.0
83,2022-08-01 12:28:01 +0000,Market,2.0
84,2022-08-01 15:15:20 +0000,Restuarant,5.3
85,2022-08-01 15:15:22 +0000,Restuarant,5.0
86,2022-08-01 19:48:07 +0000,Other,14.0
87,2022-08-02 10:21:16 +0000,Restuarant,5.5
88,2022-08-02 15:11:18 +0000,Restuarant,7.2
89,2022-08-03 04:57:19 +0000,Market,1.4
90,2022-08-03 06:31:31 +0000,Market,4.8
91,2022-08-03 06:32:08 +0000,Sport,68.3
92,2022-08-03 11:30:32 +0000,Restuarant,5.0
93,2022-08-03 14:40:23 +0000,Coffe,7.6
94,2022-08-04 04:55:30 +0000,Market,4.14
95,2022-08-04 05:50:45 +0000,Market,4.25
96,2022-08-04 10:31:16 +0000,Restuarant,5.0
97,2022-08-05 04:01:58 +0000,Transport,5.0
98,2022-08-05 05:01:59 +0000,Market,1.4
99,2022-08-05 09:07:01 +0000,Restuarant,9.0
100,2022-08-06 07:22:47 +0000,Transport,1.6
101,2022-08-06 07:24:57 +0000,Coffe,7.6
102,2022-08-06 13:45:46 +0000,Market,0.42
103,2022-08-06 13:45:51 +0000,Restuarant,7.0
104,2022-08-07 11:26:56 +0000,Market,0.46
105,2022-08-07 15:31:36 +0000,Restuarant,24.0
106,2022-08-08 05:04:56 +0000,Market,1.4
107,2022-08-08 08:30:46 +0000,Restuarant,3.5
108,2022-08-08 15:43:37 +0000,Transport,0.5
109,2022-08-09 09:21:41 +0000,Restuarant,4.0
110,2022-08-09 09:21:57 +0000,Market,1.45
111,2022-08-09 12:35:45 +0000,Market,1.9
112,2022-08-09 17:48:55 +0000,Coffe,6.0
113,2022-08-10 06:13:21 +0000,Events,12.0
114,2022-08-10 14:09:34 +0000,Restuarant,5.0
115,2022-08-10 14:17:53 +0000,Coffe,7.6
116,2022-08-11 04:42:14 +0000,Market,1.4
117,2022-08-11 05:57:33 +0000,Phone,4.0
118,2022-08-11 06:04:54 +0000,Phone,5.0
119,2022-08-11 08:35:30 +0000,Restuarant,5.0
120,2022-08-11 16:50:44 +0000,Coffe,7.0
121,2022-08-11 17:46:33 +0000,Market,10.8
122,2022-08-12 04:45:03 +0000,Market,1.43
123,2022-08-12 09:46:46 +0000,Market,1.43
124,2022-08-12 10:36:35 +0000,Restuarant,4.5
125,2022-08-12 11:12:19 +0000,Events,13.3
126,2022-08-12 12:13:20 +0000,Learning,220.0
127,2022-08-12 15:42:41 +0000,Market,8.64
128,2022-08-13 05:27:54 +0000,Transport,6.0
129,2022-08-13 05:50:02 +0000,Transport,1.0
130,2022-08-13 09:31:09 +0000,Restuarant,13.0
131,2022-08-13 09:31:13 +0000,Coffe,6.0
132,2022-08-13 09:31:32 +0000,Coffe,6.0
133,2022-08-13 14:39:33 +0000,Learning,2.3
134,2022-08-13 15:32:31 +0000,Transport,5.0
135,2022-08-14 06:41:57 +0000,Coffe,7.6
136,2022-08-14 08:01:58 +0000,Coffe,7.5
137,2022-08-14 09:41:05 +0000,Coffe,7.6
138,2022-08-14 12:40:47 +0000,Coffe,6.3
139,2022-08-14 15:55:13 +0000,Restuarant,20.0
140,2022-08-15 07:26:16 +0000,Market,7.45
141,2022-08-15 19:12:02 +0000,Restuarant,10.0
142,2022-08-15 19:12:03 +0000,Transport,2.0
143,2022-08-16 04:24:19 +0000,Market,3.1
144,2022-08-16 05:20:42 +0000,Learning,30.0
145,2022-08-16 08:37:20 +0000,Restuarant,5.5
146,2022-08-16 17:27:54 +0000,Coffe,6.3
147,2022-08-16 17:27:57 +0000,Restuarant,5.0
148,2022-08-17 02:47:05 +0000,Transport,4.0
149,2022-08-17 03:02:23 +0000,Transport,1.0
150,2022-08-17 04:28:32 +0000,Market,2.8
151,2022-08-17 09:55:39 +0000,Restuarant,5.5
152,2022-08-17 19:07:58 +0000,Market,8.48
153,2022-08-18 09:16:16 +0000,Restuarant,13.0
154,2022-08-18 19:23:24 +0000,Market,6.78
155,2022-08-19 04:28:17 +0000,Market,11.25
156,2022-08-19 04:28:20 +0000,Transport,4.0
157,2022-08-19 10:09:05 +0000,Phone,12.0
158,2022-08-19 16:58:44 +0000,Restuarant,10.0
159,2022-08-20 06:50:04 +0000,Restuarant,37.0
160,2022-08-20 06:50:06 +0000,Transport,2.0
161,2022-08-20 12:17:15 +0000,Coffe,7.6
162,2022-08-21 08:46:12 +0000,Coffe,7.6
163,2022-08-21 11:29:50 +0000,Coffe,6.7
164,2022-08-21 12:39:07 +0000,Transport,1.3
165,2022-08-21 15:24:17 +0000,Coffe,13.0
166,2022-08-22 04:50:11 +0000,Market,6.0
167,2022-08-22 08:57:45 +0000,Restuarant,5.0
168,2022-08-23 09:00:30 +0000,Restuarant,5.0
169,2022-08-24 04:20:44 +0000,Transport,2.0
170,2022-08-24 04:21:54 +0000,Communal,150.0
171,2022-08-24 11:11:27 +0000,Restuarant,42.53
172,2022-08-24 14:57:43 +0000,Coffe,7.6
173,2022-08-24 18:42:57 +0000,Market,3.6
174,2022-08-25 13:28:33 +0000,Coffe,11.1
175,2022-08-25 15:14:26 +0000,Coffe,7.6
176,2022-08-25 17:13:04 +0000,Coffe,6.4
