date,category,amount
1/3/2023 1:28,Education,200.86
1/1/2023 19:01,TRANSPORT,4.88
1/12/2023 14:17,Other,45.97
1/24/2023 18:43,RESTAURANT,44.41
1/20/2023 12:25,Cafe,8.89
1/25/2023 16:48,supermarket,114.72
1/28/2023 20:29,Coffee,3.37
1/28/2023 16:41,Restaurant,11.67
1/31/2023 1:52,Phone Bill,??
1-Apr-23,RentCar,162.59
1-Feb-23,Phone Bill,49.62
1-Jan-23,HEALTH,??
1-Jul-23,Sports,-23.62
1-Oct-23,miscellaneous,154.53
1/6/2023,supermarket,100.8
1/3/2023,healthcare,60.11
1/3/2023,Cafe,9.65
1/11/2023,transport,15.14
2/7/2023 22:47,Coffe,3.07
2/2/2023 14:32,Transport,19.25
2/5/2023 3:35,COMMUNAL,113.82
2/3/2023 22:00,restaurant,14.52
2/15/2023 7:14,Other,178.75
2/26/2023 23:36,Coffee,6.54
2/25/2023 2:26,cafe,9.94
2/28/2023 16:44,Transports,23.03
2-Apr-23,clothing,219.3
2-Feb-23,TAXI,15.08
2/2/2023,restaurant,51.24
2/2/2023,Rental,-43.31
2/5/2023,Coffee,7.82
2/8/2023,misc,32.37
2/4/2023,Learning,62.75
2/11/2023,fuel,55.12
3/9/2023 20:23,MARKET,64.05
3/7/2023 15:18,misc,8.61
3/3/2023 15:55,Restuarant,13.04
3/11/2023 2:48,MARKET,26.26
3/18/2023 20:32,Restaurent,43.78
3/11/2023 12:41,travelling,566.93
3/17/2023 18:35,clothing,271.12
3/20/2023 23:31,rental,619.16
3/23/2023 11:52,Other,96.56
3/27/2023 14:25,Sport,12.74
3/26/2023 23:46,Coffe,2.08
3-Aug-23,restaurant,-11.02
3-Apr-23,Utilities,57.6
3-Feb-23,Cab,21.03
3-Jul-23,restaurant,-22.95
3-Oct-23,restaurant,73.79
3-Sep-23,TAXI,42.76
3/9/2023,Mobile,30.09
4/9/2023 20:25,COFFEE,9.55
4/18/2023 13:37,Restaurent,24.51
4/14/2023 22:14,market,49.32
4/23/2023 2:23,resto,76.28
4/22/2023 18:07,Sport,140.74
4/22/2023 8:06,coffee,4.2
4/27/2023 4:20,COFFEE,9.81
4-Dec-23,market,101.99
4/7/2023,rent,1177.01
4/9/2023,TRANSPORT,9.14
4/5/2023,transport,11.56
4/10/2023,utilities,48.68
4/11/2023,Communal,195.6
5/7/2023 23:38,SPORT,130.66
5/4/2023 10:57,miscellaneous,55.73
5/7/2023 21:00,Motel,239.49
5/1/2023 8:47,RESTAURANT,39.07
5/9/2023 9:24,resto,53.65
5/6/2023 13:31,PHONE,52.61
5/2/2023 13:06,travelling,466.16
5/3/2023 8:18,COFFEE,8.91
5/16/2023 20:24,miscellaneous,82.14
5/19/2023 18:28,Transport,13.09
5/12/2023 13:25,transport,20.44
5/14/2023 12:08,Supermarket,103.51
5/14/2023 5:26,Market,112.71
5/15/2023 18:11,SPORT,67.31
5/28/2023 21:42,Restaurant,17.86
5/25/2023 11:26,Supermarket,83.25
5/22/2023 12:47,Rental,1308.69
5/25/2023 12:51,Other,132.47
5/22/2023 15:59,Biz Lunch,115.18
5-Aug-23,Supermarket,63.89
5-Dec-23,Taxi,N/A
5-Jul-23,Transports,12.54
5-Nov-23,market,106.92
5-Nov-23,Travel,N/A
5/7/2023,misc,175.44
5/5/2023,health,112.14
5/2/2023,Clothes,-28.15
5/7/2023,Market,27.13
5/3/2023,supermarket,35.38
6/5/2023 2:26,Other,39.03
6/3/2023 15:05,Restaurent,23.15
6/7/2023 1:23,cafe,2.35
6/4/2023 18:22,Events,107.14
6/16/2023 3:19,TRANSPORT,8.77
6/19/2023 8:45,Hotel,127.31
6/15/2023 5:50,Clothing,70.84
6/16/2023 2:06,Restuarant,22.46
6/23/2023 16:58,rent,1391.56
6/25/2023 18:17,technology,1394.18
6/30/2023 21:06,Mobile,20.79
6-Oct-23,Transports,20.05
6/11/2023,Sport,57.92
7/2/2023 20:44,Restaurant,
7/6/2023 9:30,transport,20
7/9/2023 6:41,resto,17.43
7/2/2023 13:39,transport,23.56
7/12/2023 18:35,rent,-36.19
7/11/2023 4:42,Mobile,16.32
7/18/2023 16:29,clothes,208.66
7/13/2023 19:30,Mobile,47.34
7/16/2023 20:24,RESTAURANT,30.27
7/16/2023 7:43,fuel,32.93
7/11/2023 7:12,market,67.76
7/27/2023 3:01,clothes,105.14
7/21/2023 12:37,Coffee,5.49
7-Feb-23,HEALTH,290.23
7-Mar-23,misc,-35.84
7-Oct-23,Transport,22.79
7-Sep-23,taxi,26.16
7-Sep-23,Restaurent,N/A
7-Sep-23,market,99.05
7/2/2023,restaurant,-3.94
7/7/2023,events,87.73
8/4/2023 15:16,supermarket,unknown
8/9/2023 11:23,Entertainment,43
8/5/2023 11:20,COFFEE,-36.13
8/5/2023 23:12,cab,47.56
8/8/2023 5:14,Taxi,37.41
8/11/2023 19:14,Entertainment,14.67
8/17/2023 13:12,MARKET,25.78
8/19/2023 14:25,Market,116.73
8/19/2023 17:26,Motel,
8/15/2023 12:03,Supermarket,46.51
8/12/2023 2:28,MARKET,26.66
8/15/2023 4:01,TRAVEL,74.2
8/20/2023 5:57,Utilities,115.09
8/25/2023 7:11,Coffee,2.34
8/28/2023 6:32,Other,105.65
8/21/2023 17:05,MARKET,20.77
8/24/2023 1:38,transport,8.78
8/27/2023 7:40,business lunch,69.82
8/31/2023 15:00,Other,196.25
8-Aug-23,Technology,367.33
8-Nov-23,Biz Lunch,29.42
8-Sep-23,Market,10.22
8/6/2023,Coffee,9.54
8/5/2023,Gas,55.2
8/7/2023,transport,6.92
8/1/2023,Transport,14.31
8/7/2023,Education,375.77
8/4/2023,Biz Lunch,39.32
8/12/2023,TRANSPORT,17.2
9/3/2023 12:54,Restaurent,69.16
9/1/2023 7:11,fuel,63.88
9/5/2023 4:38,Transport,10.88
9/7/2023 9:44,supermarket,29.22
9/8/2023 4:17,Sports,113.6
9/14/2023 22:32,car rental,65.01
9/10/2023 16:55,healthcare,23.1
9/16/2023 0:34,Healthcare,220.99
9/10/2023 7:35,supermarket,62.76
9/25/2023 21:38,Transport,2.54
9/28/2023 15:48,cab,16.9
9/6/2023,Communal,118.53
9/4/2023,market,71.14
9/2/2023,phone,15.36
9/6/2023,Restuarant,78.7
10/2/2023 11:03,Transport,6.36
10/2/2023 3:29,other,5.85
10/6/2023 0:18,hotel,60.23
10/3/2023 1:42,Phone,39.3
10/3/2023 8:58,COMMUNAL,183.93
10/27/2023 4:25,RESTAURANT,37.44
10/20/2023 21:55,HEALTH,116.73
10/20/2023 12:37,business_lunch,74.78
10/1/2023,Biz Lunch,66.18
10/1/2023,Coffee,7.4
10/5/2023,Transports,29.82
10/1/2023,Gas,34.71
11/9/2023 8:05,coffee,2.46
11/14/2023 16:13,Events,49.79
11/13/2023 7:33,market,38.34
11/17/2023 20:00,events,77.91
11/22/2023 21:04,Taxi,34.16
11/23/2023 20:15,Other,193.15
11/27/2023 23:01,transport,6.16
11-Aug-23,Restuarant,56.27
11/7/2023,coffee,6.03
11/3/2023,Sport,139.2
11/4/2023,Restaurant,17.79
11/1/2023,Entertainment,26.61
11/3/2023,Supermarket,49.66
11/2/2023,Travelling,241.46
11/2/2023,business_lunch,40.21
12/8/2023 10:12,Market,N/A
12/1/2023 18:16,business lunch,92.88
12/9/2023 7:27,RENT,981.62
12/10/2023 9:29,Film,25.39
12/17/2023 14:06,Restaurant,33.44
12/13/2023 3:38,clothes,294.82
12/19/2023 5:09,Restaurent,65.54
12/13/2023 4:53,Supermarket,92.7
12/14/2023 19:00,Transports,25.55
12/25/2023 23:14,Restaurant,37.55
12/29/2023 13:14,tech,333.87
12-Aug-23,RESTAURANT,58.92
12-Aug-23,RESTAURANT,12.24
12-Jul-23,Restaurent,60.73
12-Nov-23,Rent Car,140.66
12/8/2023,Transports,3.12
12/8/2023,technology,236.31
12/4/2023,Health,-41.28
12/5/2023,Car Rental,-49.45
13-Aug-23,market,72.33
13-Oct-23,cab,41.55
13-Sep-23,supermarket,100.27
13/07/2023,cafe,4.6
13/09/2023,coffee,4.59
13/11/2023,Clothes,296.95
14-Apr-23,Restaurent,59.81
14-Aug-23,EVENT,31.92
14-Jun-23,Healthcare,220.2
14-Jul-23,Healthcare,71.75
14/07/2023,learning,-41.61
14/03/2023,sports,113.66
14/03/2023,Other,137.71
14/10/2023,film/enjoyment,10.07
14/12/2023,Event,152.27
15-Dec-23,RENT,1437.39
15-Feb-23,SPORT,114.06
15-Feb-23,restaurant,43.69
15-Jul-23,miscellaneous,11.65
15-Jul-23,Market,16.6
15-Oct-23,MARKET,71.94
15/01/2023,Supermarket,39.97
15/04/2023,Other,161.86
15/10/2023,restaurant,
16-Jul-23,Misc,55.74
16-Jan-23,Film/Enjoyment,-8.4
16-Nov-23,sports,141.27
16-Nov-23,COFFEE,8.59
16-Oct-23,Mobile,33.5
16/09/2023,gas,27.84
16/07/2023,health,31.59
16/09/2023,Restaurent,32.88
16/09/2023,supermarket,88.66
16/06/2023,supermarket,71.65
16/03/2023,phone,34.75
16/03/2023,travelling,unknown
16/12/2023,OTHER,57.31
16/12/2023,RENT,1005.12
16/12/2023,MARKET,65.64
17-Aug-23,Market,N/A
